Comments,Sentiment
gustó mucho haber realizado prácticas organización puesto pude aplicar conocimientos adquirido largo carrera igual manera supervisor muy amable y ayudó resolver todas dudas presentaron fomentó aprendizaje,"AnalyzerOutput(output=POS, probas={POS: 0.969, NEU: 0.028, NEG: 0.003})"
menos interns udlap un exceso alumnos practicantes hace menos aprendizaje total,"AnalyzerOutput(output=NEG, probas={NEG: 0.935, NEU: 0.060, POS: 0.004})"
muy accesibles manejo tiempo época parciales siempre pacientes y dispuestos explicar,"AnalyzerOutput(output=POS, probas={POS: 0.857, NEU: 0.133, NEG: 0.009})"
excelente ambiente laboral y todo proporciono acorde actividades realizar,"AnalyzerOutput(output=POS, probas={POS: 0.928, NEU: 0.068, NEG: 0.004})"
debido nueva normalidad y trabajando manera virtual trabajado manera diferente hotel pesar trabajo muy bueno,"AnalyzerOutput(output=POS, probas={POS: 0.869, NEU: 0.127, NEG: 0.004})"
ninguno,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, NEG: 0.298, POS: 0.205})"
muy bonita experiencia pesar cuarentena genial participar,"AnalyzerOutput(output=POS, probas={POS: 0.979, NEU: 0.018, NEG: 0.003})"
personalmente no agrada linea todas sesiones organización problemas conexión u similares no queda adaptarse situación,"AnalyzerOutput(output=NEG, probas={NEG: 0.871, NEU: 0.124, POS: 0.005})"
momento realizar encuesta encuentro aún dentro tiempo prácticas trabajo bueno pesar condiciones trabajo remotas actuales responsable proyecto jefe organización receptivos y apoyado necesitado proyecto una buena fuente práctica y aprendizaje no acordaron beneficios adicionales y momento no hablado una posible contratación,"AnalyzerOutput(output=NEU, probas={NEU: 0.770, NEG: 0.187, POS: 0.044})"
encantó trabajar despacho tuve oportunidad tratar y colaborar diferentes personas equipo dionne y verdad todos excelentes profesionales y grandes personas,"AnalyzerOutput(output=POS, probas={POS: 0.968, NEU: 0.029, NEG: 0.003})"
organización dio capacitación temas manejan bueno comunicación inicio difícil contingencia difícil ponerse acuerdo o reunirnos menos final funcionó bien,"AnalyzerOutput(output=NEG, probas={NEG: 0.512, NEU: 0.450, POS: 0.038})"
muy buena experiencia aprendizaje obtiene aquí mucho todas personas trabajan organización personas increíbles dispuestas enseñar y apoyar,"AnalyzerOutput(output=POS, probas={POS: 0.978, NEU: 0.019, NEG: 0.003})"
una excelente fuente aprendizaje,"AnalyzerOutput(output=POS, probas={POS: 0.960, NEU: 0.037, NEG: 0.003})"
pregunta ¿la organización brindó beneficios comedor transporte remuneración económica etc acordaron inicio prácticas no aplica no acordó nada debido contingencia sanitaria llevó todo digital,"AnalyzerOutput(output=NEG, probas={NEG: 0.619, NEU: 0.369, POS: 0.012})"
veces surgían actividades imprevisto un momento y hacerse ya supongo normal pueda pasar cualquier empresa profesional sucedió una vez y menos y saber dio sensación falta planeación u organización no consta líneas generales bien ayudado darme una idea cómo vida laboral ya ve ahí cruzando calle,"AnalyzerOutput(output=NEG, probas={NEG: 0.792, NEU: 0.202, POS: 0.005})"
encanto poder participar organización,"AnalyzerOutput(output=POS, probas={POS: 0.599, NEU: 0.377, NEG: 0.024})"
adquirí muchos conocimientos nuevos,"AnalyzerOutput(output=POS, probas={POS: 0.792, NEU: 0.200, NEG: 0.009})"
general parece una buena oportunidad poder aplicar conocimientos adquiridos licenciatura,"AnalyzerOutput(output=POS, probas={POS: 0.952, NEU: 0.045, NEG: 0.003})"
hizo comentario contratación no una oferta no podría calificar concretamente organización ya toda práctica línea aunque contacto tuve agradable y profesional,"AnalyzerOutput(output=NEU, probas={NEU: 0.818, NEG: 0.147, POS: 0.034})"
excelente organización,"AnalyzerOutput(output=POS, probas={POS: 0.659, NEU: 0.291, NEG: 0.050})"
muy buena organización permitió involucrarme y aprender mucho proyecto cuestión,"AnalyzerOutput(output=POS, probas={POS: 0.973, NEU: 0.024, NEG: 0.003})"
siento organización pudo mejor avanzar proyecto asignaron un proyecto varios alumnos practicas no asignaron un líder experto sistemas medio ayudábamos y difícil no conoces nadie y no sabes preguntar solo final asignaron un responsable si solo brindábamos avances cada semana realmente no capacitaron ningún aspecto enseñaron solo hablaron trata proyecto y ahí parte recursos humanos tuve una buena comunicación dije recomendaría un responsable sepa caso sistemas o practicantes asignen proyectos ya un avance y alguna forma puedan contribuir y alguna forma enseñen si no sabemos algún proceso y tal si aprendí hacer muchas cosas investigación propia siento universidad enseñarnos sistemas computacionales programación web primeros semestres pues necesite proyecto y medio aprendiendo ahora séptimo semestre,"AnalyzerOutput(output=NEU, probas={NEU: 0.656, NEG: 0.302, POS: 0.042})"
buen ambiente trabajo y paciencia parte compañeros y supervisor así una amplia oportunidad aprendizaje práctico y teórico,"AnalyzerOutput(output=POS, probas={POS: 0.930, NEU: 0.067, NEG: 0.003})"
encantado impact podido aplicar todos aprendizaje universidad y equipo trabajo siempre dispuesto ayudarme dudas tratan bien becarios verdad integran equipo,"AnalyzerOutput(output=POS, probas={POS: 0.939, NEU: 0.056, NEG: 0.005})"
aprendido mucho semestre siento mucho preparada enfrentar conflictos carrera y quisiera poder seguir misma organización prácticas ii podrían ofrecerme un trabajo si quedara siguiente semestre,"AnalyzerOutput(output=NEG, probas={NEG: 0.640, NEU: 0.345, POS: 0.015})"
trato recibido parte organización excelente ya proporcionaron herramientas necesarias capacitación y desarrollo actividades asignadas siempre trataron respeto y paciencia siempre si tenia alguna duda y asesoraban mejorar tareas y crear nuevos conocimientos complementan ya adquirido largo carrera una experiencia muy buena llena conocimiento y productividad ya pesar situación pandemia no tuvimos ningún inconveniente comunicación y realización actividades y trabajos asignaron,"AnalyzerOutput(output=POS, probas={POS: 0.935, NEU: 0.060, NEG: 0.005})"
excelente trabajo,"AnalyzerOutput(output=POS, probas={POS: 0.459, NEU: 0.432, NEG: 0.109})"
buen ambiente trabajo,"AnalyzerOutput(output=POS, probas={POS: 0.874, NEU: 0.116, NEG: 0.010})"
practicas mejores si podido hacer manera presencial debido contingencia no posible,"AnalyzerOutput(output=NEU, probas={NEU: 0.662, NEG: 0.318, POS: 0.020})"
ninguno,"AnalyzerOutput(output=NEU, probas={NEU: 0.498, NEG: 0.298, POS: 0.205})"
excelente trabajo parte departamento electrónica así departamento prácticas agradezco tiempo y apoyo todos involucrados completar prácticas,"AnalyzerOutput(output=POS, probas={POS: 0.841, NEU: 0.152, NEG: 0.007})"
debido covid tuvimos hacer todo casa ello no pudimos realizar todos proyectos planeados,"AnalyzerOutput(output=NEG, probas={NEG: 0.904, NEU: 0.091, POS: 0.005})"
una muy buena experiencia poder desarrollarme profesionalmente aunque distancia inmense hotels una gran cadena,"AnalyzerOutput(output=POS, probas={POS: 0.975, NEU: 0.022, NEG: 0.002})"
cónsul muy buena líder dirección proyectos muy humana y empática situaciones sociales encanto trabajar y equipo trabajo,"AnalyzerOutput(output=POS, probas={POS: 0.934, NEU: 0.060, NEG: 0.006})"
recomiendo realizar practicas profesión aunque punto vista seria mejor no tener materias tiempo practicas aprovechas mas experiencia,"AnalyzerOutput(output=NEU, probas={NEU: 0.538, POS: 0.443, NEG: 0.018})"
gusto mucho dedicaron tiempo aprender y daban diferentes tareas o ejercicios practicar,"AnalyzerOutput(output=POS, probas={POS: 0.862, NEU: 0.129, NEG: 0.009})"
siento muy feliz practicas realice ya aprendí mucho además rompiendo paradigmas no imagine pudiera útil cerrera estudie una empresa constructora embargo vi muchas actividades puede involucrar un ingeniero industrial hecho hacer un proceso supervisión avance obra y buscando áreas oportunidad proveedores empleados recursos financieros y tiempos entrega sentí muy contenta realizar practicas empresa,"AnalyzerOutput(output=POS, probas={POS: 0.922, NEU: 0.071, NEG: 0.007})"
excelente organización llevo nuevos conocimientos,"AnalyzerOutput(output=POS, probas={POS: 0.953, NEU: 0.044, NEG: 0.003})"
organización una excelente opción realizar prácticas profesionales recomendaría mucho futuros aplicantes,"AnalyzerOutput(output=POS, probas={POS: 0.950, NEU: 0.047, NEG: 0.003})"
organización mostrado muy accesible atender dudas y poder enseñarme posible embargo formato prácticas profesionales línea no brinda misma experiencia hacerlas presencialmente,"AnalyzerOutput(output=NEU, probas={NEU: 0.652, POS: 0.309, NEG: 0.039})"
proyecto participe sirvió mucho mejorar habilidades matlab además presentó muchos usos conocimientos obtenido largo formación profesional muy agradecida doctora trabajando paciencia y apoyo realización cada actividad realizamos,"AnalyzerOutput(output=POS, probas={POS: 0.967, NEU: 0.030, NEG: 0.003})"
excelente organización todes muy atentos y amables,"AnalyzerOutput(output=POS, probas={POS: 0.976, NEU: 0.021, NEG: 0.002})"
experiencia organización muy buena pesar tuve realizar distancia siempre tuve apoyo encargada área y pude realizar mucha investigación y aplicar conocimientos recibido carrera contratos además encontrar un área interés traducción legal,"AnalyzerOutput(output=POS, probas={POS: 0.922, NEU: 0.074, NEG: 0.004})"
no realice ninguna actividad relación carrera no un control correcto avances desempeño no reuniones seguimiento avance solo una capacitación principio y una junta medio mandaban link junta decían no necesario entrar no dieron un objetivo claro cantidad anuncios meter dos semanas acabar dieron una cifra anuncios y una semana después no aumentaron anuncios todo aviso acuerdo previo,"AnalyzerOutput(output=NEG, probas={NEG: 0.734, NEU: 0.257, POS: 0.009})"
no llegó ningun acuerdo ya beneficios siempre y prácticas presenciales embargo llevaron cabo línea comentaron contratación una vez no seguro ya oferta volverían proponer acabe pandemia y puedan reanudar actividades presenciales cien ciento,"AnalyzerOutput(output=NEG, probas={NEG: 0.580, NEU: 0.401, POS: 0.019})"
un excelente lugar aprendi mucho compañeras jefe aunque ere practicante enseñaron mucho y tomaban tiempo explicarme,"AnalyzerOutput(output=POS, probas={POS: 0.962, NEU: 0.034, NEG: 0.005})"
todo excelente buen trato respeto sugerencias ideas creativas y buen ambiente laboral,"AnalyzerOutput(output=POS, probas={POS: 0.962, NEU: 0.036, NEG: 0.003})"
realicé un proyecto interno acreditar prácticas profesionales y aunque siento satisfecha realizado no considero aprenda misma manera llevando prácticas línea manera presencial,"AnalyzerOutput(output=NEU, probas={NEU: 0.828, POS: 0.097, NEG: 0.075})"
caso no una buena experiencia forma realice prácticas gustado hacer practica una empresa y forma presencial una experiencia mejorar próximos proyectos realice,"AnalyzerOutput(output=NEU, probas={NEU: 0.813, POS: 0.170, NEG: 0.018})"
muy buena empresa verdad encantaría seguir laborando ahí,"AnalyzerOutput(output=POS, probas={POS: 0.977, NEU: 0.021, NEG: 0.002})"
confusas opciones respuesta encuesta respecto organización agrado mucho experiencia y una lástima no pudo realizarse actividades presenciales,"AnalyzerOutput(output=NEG, probas={NEG: 0.925, NEU: 0.069, POS: 0.006})"
empecé actividades,"AnalyzerOutput(output=NEU, probas={NEU: 0.658, POS: 0.195, NEG: 0.148})"
agradado experiencia personal embargo situación pandemia no permitía cualquier forma pareció muy bien trato dieron y agradó conocer forma experimentar animación muy diferente acostumbrada,"AnalyzerOutput(output=POS, probas={POS: 0.902, NEU: 0.092, NEG: 0.006})"
muy buena organización mucha oportunidad aprendizaje diferentes áreas todo una mezcla ingeniería industrial mucha ingeniería química muy buen aprendizaje,"AnalyzerOutput(output=POS, probas={POS: 0.975, NEU: 0.022, NEG: 0.003})"
preguntas cuestionario podrían mas precisas ya confunde un primera parte preguntan periodo y horas acumuladas pues pide fecha termino cuál dentro semanas y no sé si debo poner horas pactamos o realizado ahora,"AnalyzerOutput(output=NEU, probas={NEU: 0.887, NEG: 0.101, POS: 0.012})"
inaoe apoyo y brindo toda ayuda necesaria poder completar practicas profesionales,"AnalyzerOutput(output=NEU, probas={NEU: 0.836, POS: 0.122, NEG: 0.042})"
aprendí mucho prácticas solo tristemente gustado presenciales dr felipe siempre encargó entendiera todo perfección y respondió todas dudas largo semestre corto tiempo entendí un un área carrera llama segmentación imagen y cabe recalcar muy complicada alegra mucho final carrera udlap tuve oportunidad aprender acerca un tema interesa y alguien un experto materia agradezco mucho dr felipe orihuela todo apoyo,"AnalyzerOutput(output=POS, probas={POS: 0.614, NEU: 0.371, NEG: 0.015})"
exigencia buena gustó pidieran bastantes cosas embargo no un equipo legal supervisara trabajo no trabajé directamente ningún abogado pudiera analizar o plasmar dudas requirió hacer diferentes tipos contratos no tuve contacto retroalimentación respecto temas relativos derecho gustado tener mayor crecimiento y poder aprender cosas nuevas relacionadas carrera,"AnalyzerOutput(output=NEU, probas={NEU: 0.604, NEG: 0.363, POS: 0.033})"
modalidad trabajo línea muy difícil establecer una relación formal jefe y empresa dificulto gran medida desempeño dentro organización muy buena empresa modalidad línea dificulto trabajo y relación dentro organización,"AnalyzerOutput(output=NEG, probas={NEG: 0.879, NEU: 0.116, POS: 0.005})"
muy buena organización,"AnalyzerOutput(output=POS, probas={POS: 0.967, NEU: 0.030, NEG: 0.003})"
organización un buen ambiente laboral respondieron dudas seguida y pude explotar conocimientos adquiridos universidad una manera eficaz tuve un buen respaldo superiores y logré experimentar campo laboral ningún problema,"AnalyzerOutput(output=POS, probas={POS: 0.919, NEU: 0.077, NEG: 0.004})"
trabajar aquí una excelente experiencia prácticas acuerdo carta inicio comenzaron septiembre y terminan diciembre,"AnalyzerOutput(output=POS, probas={POS: 0.921, NEU: 0.076, NEG: 0.003})"
organización excelente único problema modalidad línea gracias pandemia ya no considero mejor hacer tipo actividades dentro todo considero experiencia muy buena,"AnalyzerOutput(output=POS, probas={POS: 0.875, NEU: 0.116, NEG: 0.009})"
experiencia excelente aprendi muchisimo y disfrute único tema realice mucho horas establecidas carta y creo deberian poner un aproximado horas reales realizan,"AnalyzerOutput(output=POS, probas={POS: 0.934, NEU: 0.062, NEG: 0.004})"
trabajar ana seguros general una buena experiencia ya muy flexibles trabajos y horarios ya adaptaron nueva normalidad una manera muy eficiente,"AnalyzerOutput(output=POS, probas={POS: 0.955, NEU: 0.041, NEG: 0.003})"
excelente realizar prácticas cámara diputados línea creo menos involucramiento y pude haber explotado potencial gustaría involucrado actividades atención y capacitación recibimos valió pena,"AnalyzerOutput(output=POS, probas={POS: 0.942, NEU: 0.051, NEG: 0.007})"
prácticas modalidad online no necesidad viáticos o algún tipo transporte o comida,"AnalyzerOutput(output=NEU, probas={NEU: 0.898, NEG: 0.082, POS: 0.020})"
organización no brindó beneficios comedor transporte o remuneración económica nunca acordamos harían además no recibí una oferta contratación per director programa participé comunicó manera informal próximo año buscarían posibilidad incluirme algún proyecto y ofrecerme remuneración económica prácticas muy enriquecedoras y probablemente poder llevarlas acabo manera presencial,"AnalyzerOutput(output=NEU, probas={NEU: 0.789, NEG: 0.181, POS: 0.031})"
excelente lugar y solo respeto además agradecimiento maestra hegewisch,"AnalyzerOutput(output=POS, probas={POS: 0.970, NEU: 0.026, NEG: 0.004})"
punto brindar beneficios no así prácticas línea,"AnalyzerOutput(output=NEU, probas={NEU: 0.726, NEG: 0.231, POS: 0.042})"
aprendí muchísimo prácticas dra lucila siempre pendiente cualquier duda o comentario muy buen proyecto,"AnalyzerOutput(output=POS, probas={POS: 0.970, NEU: 0.027, NEG: 0.003})"
muy padres actividades y excelente trabajo equipo,"AnalyzerOutput(output=POS, probas={POS: 0.979, NEU: 0.018, NEG: 0.003})"
encanto trabajar ustedes un gran equipo emocionó mucho formar parte equipo legal temas innovadores creación una aplicación muchas gracias hacerme parte equipo,"AnalyzerOutput(output=POS, probas={POS: 0.979, NEU: 0.018, NEG: 0.003})"
aún duda si ofrecen alguna oferta parte empresa,"AnalyzerOutput(output=NEU, probas={NEU: 0.903, NEG: 0.080, POS: 0.017})"
muy contento haber realizado prácticas profesionales notaría puebla,"AnalyzerOutput(output=POS, probas={POS: 0.900, NEU: 0.091, NEG: 0.009})"
atención puso ingeniero mackay trabajo realizad parte bastante grata dio una buena experiencia iniciar carrera profesional lamentablemente pandemia impidió estuviéramos manera física y una gran experiencia,"AnalyzerOutput(output=POS, probas={POS: 0.941, NEU: 0.053, NEG: 0.006})"
bien trabajar dicha organización ya udlap una universidad prestigio invierte económicamente mucho dinero poder salir un buen empleo,"AnalyzerOutput(output=POS, probas={POS: 0.888, NEU: 0.106, NEG: 0.006})"
falto organización plan trabajo diseñaron así un mayor acompañamiento actividades capacitación hacer home office definitivamente volvió un reto interacción organización y practicante,"AnalyzerOutput(output=NEU, probas={NEU: 0.745, NEG: 0.160, POS: 0.094})"
agradezco binarapp darme oportunidad,"AnalyzerOutput(output=NEU, probas={NEU: 0.500, POS: 0.468, NEG: 0.032})"
transporte y comida na pandemia embargo decepcionada no haber podido aprender proyecto ofrecido cuestión además capacitación incompleta,"AnalyzerOutput(output=NEG, probas={NEG: 0.971, NEU: 0.026, POS: 0.003})"
duda aprendido mucho todos procesos recursos humanos hotel enseñado valioso capital humano poder crear una experiencia única industria hospedaje fortalecido muchos aspectos personales ido desarrollando una experiencia grata formar parte hotel azul talavera debido pandemia no pude vivir presencial mente trabajo,"AnalyzerOutput(output=POS, probas={POS: 0.913, NEU: 0.078, NEG: 0.008})"
creo proyecto interno trabajando semestre puede aydar mucho desarrollo profesional ya aprendiendo utilizar una herramienta no siempre aprende y muy útil,"AnalyzerOutput(output=POS, probas={POS: 0.819, NEU: 0.172, NEG: 0.009})"
realidad debemos aceptar muy improvisado y aunque no una experiencia pensaba iba agradecido escuela haber hecho posible cursar materia,"AnalyzerOutput(output=POS, probas={POS: 0.593, NEU: 0.336, NEG: 0.071})"
una experiencia distinta embargo adquirí nuevos conocimientos puntos vista y todo nuevas formas solucionar un problema,"AnalyzerOutput(output=POS, probas={POS: 0.548, NEU: 0.438, NEG: 0.014})"
gustaría comentar medidas sanidad tomó mco studios excelentes comparto un video respecto httpsvimeocom cuál dado confianza asistir manera personal ocasiones necesarias momento personal organización muy amable y tomado tiempo capacitarme especial sofía cuevas y alejandra laveaga supervisoras agradezco mucho departamento prácticas y coordinadora mercedes flores ayuda y atención largo proceso daniel c,"AnalyzerOutput(output=POS, probas={POS: 0.722, NEU: 0.263, NEG: 0.015})"
experiencia muy grata y aprende mucho respecto áreas comercio exterior y negocios,"AnalyzerOutput(output=POS, probas={POS: 0.974, NEU: 0.023, NEG: 0.002})"
respecto beneficios prácticas parece importante mencionar no necesarios gracias trabajando casa además remuneración economica una posibilidad no asegurada,"AnalyzerOutput(output=NEG, probas={NEG: 0.527, NEU: 0.450, POS: 0.024})"
nombre norma elena rodriguez huerta,"AnalyzerOutput(output=NEU, probas={NEU: 0.746, POS: 0.190, NEG: 0.064})"
no recibí beneficios parte empresa ya home office entonces no necesario recibir apoyo económico,"AnalyzerOutput(output=NEU, probas={NEU: 0.554, NEG: 0.428, POS: 0.018})"
proyecto pareció muy bueno permitió usar una forma práctica habilidades investigación y argumentación,"AnalyzerOutput(output=POS, probas={POS: 0.967, NEU: 0.029, NEG: 0.004})"
equipo trabajo motivó mantener un buen nivel,"AnalyzerOutput(output=POS, probas={POS: 0.910, NEU: 0.084, NEG: 0.007})"
quizá no esperaba línea,"AnalyzerOutput(output=NEU, probas={NEU: 0.611, NEG: 0.219, POS: 0.170})"
pienso firmemente no cerca institución udlap y organización poder crear un lenguaje entendiese o consiguiese un mejor aprovechamiento materia cualquier forma considero ambos adaptamos modalidad trabajo y espero organización pueda mejorar ámbito,"AnalyzerOutput(output=NEU, probas={NEU: 0.801, NEG: 0.128, POS: 0.071})"
interactuar forma personal aplicantes prácticas involucrarse trabajo desarrolla igual manera dar un retroalimentación trabajo y avances,"AnalyzerOutput(output=NEU, probas={NEU: 0.611, POS: 0.360, NEG: 0.029})"
contrato trabajo octubre embargo cuestiones familiares tuve abandonar organización tiempo establecido experiencia ayudando mucho ver cómo funcionan organizaciones reales y cómo puedo aplicar aprendido práctico,"AnalyzerOutput(output=NEU, probas={NEU: 0.804, POS: 0.165, NEG: 0.031})"
logre aprender muchas cosas nuevas,"AnalyzerOutput(output=POS, probas={POS: 0.873, NEU: 0.119, NEG: 0.008})"
considero actividades realizada thk marketing trabajo diseñador mercadóloga ya carrera siquiera tuvimos materia diseño tal además no comunicación y siempre terminan culpando practicantes errores jefas no comentaban o no ponían acuerdo una decía y cambiaba considero deberían cambiar actividades realizar dentro empresa y además mejorar comunicación y orden niveles superiores,"AnalyzerOutput(output=NEG, probas={NEG: 0.797, NEU: 0.194, POS: 0.009})"
necesario empresa realice una estrategia introducción empleados practicantes saber bien va dirigir va hacer etc no escaso comunicación y trabajo,"AnalyzerOutput(output=NEU, probas={NEU: 0.764, NEG: 0.151, POS: 0.084})"
muy buena organización disposición enseñarte y dejan aportar ideas pesar practicante,"AnalyzerOutput(output=POS, probas={POS: 0.968, NEU: 0.028, NEG: 0.004})"
prácticas diseño no mercadotecnia pide saber usar photoshop ya cada semana entregan artes no vimos licenciatura único relacionado hacer tal vez iba decir abajo arte,"AnalyzerOutput(output=NEG, probas={NEG: 0.662, NEU: 0.329, POS: 0.009})"
excelente experiencia organización líder asignaron siempre muy atenta y clara instrucciones daba no tuve ningún inconveniente y equipo laboral muy agradable,"AnalyzerOutput(output=POS, probas={POS: 0.976, NEU: 0.020, NEG: 0.004})"
voy muy contenta pues considero aprendí mucho y pude aplicar aprendí carrera alegro haber buscado opción,"AnalyzerOutput(output=POS, probas={POS: 0.962, NEU: 0.034, NEG: 0.003})"
aprendí mucho empresa ambiente muy agradable,"AnalyzerOutput(output=POS, probas={POS: 0.973, NEU: 0.024, NEG: 0.004})"
adaptaron situación perfectamente desarrolle autocritica y conocimientos nuevos,"AnalyzerOutput(output=POS, probas={POS: 0.617, NEU: 0.371, NEG: 0.012})"
disfruté hacer practicas faurecia adquirí conocimientos y herramientas ayudaron abrir panorama área laboral duda gustaría continuar trabajando empresa,"AnalyzerOutput(output=POS, probas={POS: 0.917, NEU: 0.078, NEG: 0.005})"
comentarios,"AnalyzerOutput(output=NEU, probas={NEU: 0.511, NEG: 0.342, POS: 0.147})"
buena experiencia requieren conocimientos previos programación,"AnalyzerOutput(output=POS, probas={POS: 0.842, NEU: 0.153, NEG: 0.005})"
gustado tener acercamiento compañeros tomaron caso estudio kata mejora poder complementar enfoques y abrirlas enfoques demás claro entendido pandemia difícil acercamiento ahí todo muy bien,"AnalyzerOutput(output=POS, probas={POS: 0.780, NEU: 0.213, NEG: 0.007})"
excelente empresa verdad respetaron todo acordado inicio capacitación pesar linea muy completa y supervisor rafael muy listo y atento enseñaron know how armar expedientes obtención creditos empresa siento servira mucho futuro,"AnalyzerOutput(output=POS, probas={POS: 0.953, NEU: 0.042, NEG: 0.004})"
aprendí muchas cosas embargo no deja cambiar dinámica total hacerlo forma remota esperaba desenvolverme departamento embargo un gran equipo trabajo,"AnalyzerOutput(output=POS, probas={POS: 0.625, NEU: 0.345, NEG: 0.030})"
aprendí muchísimo siempre recibí un trato cordial y mucha paciencia y amabilidad,"AnalyzerOutput(output=POS, probas={POS: 0.963, NEU: 0.034, NEG: 0.003})"
sc,"AnalyzerOutput(output=NEU, probas={NEU: 0.488, NEG: 0.352, POS: 0.160})"
organización muy completa ambiente trabajo agradable,"AnalyzerOutput(output=POS, probas={POS: 0.968, NEU: 0.029, NEG: 0.003})"
excelente organización encanto mucho prácticas pasadas y valoraron cada trabajo hice trabajaría,"AnalyzerOutput(output=POS, probas={POS: 0.977, NEU: 0.019, NEG: 0.004})"
doctora mónica hizo un excelente trabajo y ayudó formación profesionista mejor manera,"AnalyzerOutput(output=POS, probas={POS: 0.971, NEU: 0.026, NEG: 0.003})"
organización no tuvo culpa pues final cuentas proyecto iba trabajar no pudo realizar cuestiones pandemia actividades pusieron muy simples procuró aprendieramos nuevas cosas no llevó un orden un registro actividades,"AnalyzerOutput(output=NEG, probas={NEG: 0.529, NEU: 0.446, POS: 0.025})"
muy satisfecho proyecto,"AnalyzerOutput(output=POS, probas={POS: 0.931, NEU: 0.063, NEG: 0.007})"
todo muy bien virtual un pesado aprendí mucho y quedé satisfecho proyectos,"AnalyzerOutput(output=POS, probas={POS: 0.973, NEU: 0.023, NEG: 0.003})"
experiencia empresa muy buena ya aprendí cosas relacionadas carrera y ámbitos parece excelente ya nunca sabe puede emplear algún conocimiento externo aprendidos carrera,"AnalyzerOutput(output=POS, probas={POS: 0.919, NEU: 0.078, NEG: 0.003})"
muy buenas practicas aprendí cosas carrera y aportaciones carreras,"AnalyzerOutput(output=POS, probas={POS: 0.963, NEU: 0.034, NEG: 0.003})"
palabras pésima experiencia practicas no tenerla,"AnalyzerOutput(output=NEG, probas={NEG: 0.911, NEU: 0.074, POS: 0.015})"
general una buena experiencia ciertos aspectos situación actual no mejores y experiencia vio afectada,"AnalyzerOutput(output=NEG, probas={NEG: 0.714, NEU: 0.274, POS: 0.012})"
faurecia una excelente organización yo muy contenta actividades y equipo jefa siempre presente así compañeros pesar distancia siento adquirí muchos conocimientos,"AnalyzerOutput(output=POS, probas={POS: 0.973, NEU: 0.024, NEG: 0.003})"
encantado permitido parte universidad ir instalaciones organización comprendo motivos distanciamiento social no posible pese gustó mucho trabajar organización,"AnalyzerOutput(output=NEU, probas={NEU: 0.756, NEG: 0.148, POS: 0.096})"
situación pandemia no pude hacer todo podido hacer presencial atención y disposición supervisor muy buena y considero una gran opción realizar prácticas,"AnalyzerOutput(output=POS, probas={POS: 0.912, NEU: 0.082, NEG: 0.006})"
excelente experiencia,"AnalyzerOutput(output=POS, probas={POS: 0.754, NEU: 0.215, NEG: 0.031})"
ya tal no una organización física no recomendaciones o sugerencias hacer,"AnalyzerOutput(output=NEU, probas={NEU: 0.540, NEG: 0.446, POS: 0.014})"
todo muy bien excelente forma preparar estudiantes academicamente,"AnalyzerOutput(output=POS, probas={POS: 0.960, NEU: 0.037, NEG: 0.003})"
una buena institución interesa estudiantes,"AnalyzerOutput(output=POS, probas={POS: 0.800, NEU: 0.190, NEG: 0.010})"
blackshiip vc no think marketing,"AnalyzerOutput(output=NEU, probas={NEU: 0.617, NEG: 0.268, POS: 0.115})"
excelente ambiente y permitió aprender profesión,"AnalyzerOutput(output=POS, probas={POS: 0.979, NEU: 0.019, NEG: 0.003})"
nombre carlos ochoa escandón no carlos sánchez escandón,"AnalyzerOutput(output=NEU, probas={NEU: 0.733, NEG: 0.194, POS: 0.074})"
mejor lugar hacer prácticas profesionales aprendes muchísimo,"AnalyzerOutput(output=POS, probas={POS: 0.965, NEU: 0.029, NEG: 0.006})"
todo adecuado,"AnalyzerOutput(output=NEU, probas={NEU: 0.559, NEG: 0.374, POS: 0.067})"
creo una buena institución dónde realizar prácticas hecho contacto una organización federal personas responsables muy amables y gentiles respecto trato estudiantes opino ayuda desarrollar habilidades trabajo bajo presión investigación no obstante pienso muchas áreas oportunidad primer lugar existe cierta desorganización respecto tiempos y fechas trabajo pienso hace falta una gestión plan estructural respecto actividades realizarán estudiantes tratando involucrarnos cuestiones internas institución general pienso una buen lugar realizar prácticas debidos ajustes podría convertir un espacio mayor aprendizaje,"AnalyzerOutput(output=NEU, probas={NEU: 0.602, POS: 0.371, NEG: 0.027})"
todo excelente,"AnalyzerOutput(output=NEU, probas={NEU: 0.593, POS: 0.215, NEG: 0.192})"
organización deberia tener una mejo estructuracion cuanto delegacion tareas,"AnalyzerOutput(output=NEU, probas={NEU: 0.795, NEG: 0.141, POS: 0.064})"
pregunta dice si organización brindo beneficios conteste ¨no¨ ya contingencia covid lleve acabo practicas linea,"AnalyzerOutput(output=NEU, probas={NEU: 0.677, NEG: 0.306, POS: 0.016})"
todo excelente,"AnalyzerOutput(output=NEU, probas={NEU: 0.593, POS: 0.215, NEG: 0.192})"
preguntas no aplican ya realicé un proyecto interno debido pandemia,"AnalyzerOutput(output=NEU, probas={NEU: 0.614, NEG: 0.378, POS: 0.008})"
no acordaron beneficios incio prácticas,"AnalyzerOutput(output=NEU, probas={NEU: 0.603, NEG: 0.375, POS: 0.021})"
